zone_temp_id;temporary_JJ96-211;register;act_number;warning
60233;33564;JJ176;427;FOLIO vide ou non reconnu dans Acts CSV
60234;33564;JJ176;427;FOLIO vide ou non reconnu dans Acts CSV
60235;33564;JJ176;427;FOLIO vide ou non reconnu dans Acts CSV
60236;33565;JJ176;428;FOLIO vide ou non reconnu dans Acts CSV
60237;33565;JJ176;428;FOLIO vide ou non reconnu dans Acts CSV
60238;33566;JJ176;429;FOLIO vide ou non reconnu dans Acts CSV
60239;33566;JJ176;429;FOLIO vide ou non reconnu dans Acts CSV
60240;33566;JJ176;429;FOLIO vide ou non reconnu dans Acts CSV
60241;33567;JJ176;430;FOLIO vide ou non reconnu dans Acts CSV
60242;33567;JJ176;430;FOLIO vide ou non reconnu dans Acts CSV
60243;33568;JJ176;431;FOLIO vide ou non reconnu dans Acts CSV
60244;33569;JJ176;432;FOLIO vide ou non reconnu dans Acts CSV
60245;33570;JJ176;433;
60246;33571;JJ176;434;
60247;33572;JJ176;435;
60248;33572;JJ176;435;
60249;33573;JJ176;436;
60250;33573;JJ176;436;
60251;33574;JJ176;437;
60252;33575;JJ176;438;FOLIO vide ou non reconnu dans Acts CSV
60253;33576;JJ176;439;FOLIO vide ou non reconnu dans Acts CSV
60254;33577;JJ176;440;FOLIO vide ou non reconnu dans Acts CSV
60255;33577;JJ176;440;FOLIO vide ou non reconnu dans Acts CSV
60256;33578;JJ176;441;FOLIO vide ou non reconnu dans Acts CSV
60257;33579;JJ176;442;FOLIO vide ou non reconnu dans Acts CSV
60258;33580;JJ176;443;FOLIO vide ou non reconnu dans Acts CSV
60259;33581;JJ176;444;FOLIO vide ou non reconnu dans Acts CSV
