File;Register;Act_number;Head
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ146;219bis;219bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ146;25bis;25bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ150;291bis;291bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ150;300bis;300bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ150;302bis;302/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ151;186biset233;186biset233
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ152;298bis;298bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ153;173bis;173bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ153;379bis;379bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ153;513bis;513bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ153;513ter;513ter
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ153;5bis;5bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ154;74bis;74bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ155;168bis;168bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ155;449bis;449/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ155;54bis;54bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ155;76bis;76bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ155;82bis;82bis
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ156;112bis;112/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ156;252bis;252/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ157;187bis;187/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ157;458bis;458/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ157;47bis;47/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ157;498bis;498/bis.
Paris_AN_JJ_inventaire_IR423-JJ156-211;JJ157;92bis;92/bis.
