Paris_AN_JJ_inventaire_JJ80.xml_Register;Paris_AN_JJ_inventaire_JJ80.xml_Act_number;Paris_AN_JJ_inventaire_JJ80.xml_Head;Paris_AN_JJ_inventaire_JJ80.xml_Locus;Paris_AN_JJ_inventaire_JJ80.xml_File
JJ80;108;108;57v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;109;109;58r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;110;110;58r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;111;111;58v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;112;112;59r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;113;113;59r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;114;114;59v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;115;115;59v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;116;116;60r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;117;117;60v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;118;118;60v-61r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;119;119;61r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;120;120;61v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;121;121;62r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;122;122;63r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;123;123;63v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;124;124;64r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;125;125;64r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;126;126;64v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;127;127;65r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;128;128;65r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;129;129;65v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;130;130;66r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;131;131;66r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;132;132;66v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;133;133;67r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;134;134;67v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;135;135;68r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;136;136;68r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;137;137;69r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;138;138;69v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;139;139;69v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;140;140;70r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;141;141;70v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;142;142;71r;Paris_AN_JJ_inventaire_JJ80.xml
